Date;Last Crawling;SKU Name;Product Name;Url Product;Seller;Merchant;Stock;Item Condition;Filter;Flag;Bottom Price;Original Price;Discount;Selling Price;Discrepancy;Sales Quantity;Sales Revenue
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300Mbps Wireless Router / Wifi Router TPLINK WR840N;https://tokopedia.com/lucu-1/tp-link-tl-wr840n-300mbps-wireless-router-wifi-router-tplink-wr840n;LUCU_U;tokopedia;In Stock;baru;Above;Please Check;155000;283000;0;283000;0,018258065;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Dijual TP-LINK ROUTER TL-WR840N Limited;https://tokopedia.com/gilsaashopp/dijual-tp-link-router-tl-wr840n-limited;gilsaa_shopp;tokopedia;In Stock;baru;Above;Please Check;155000;220000;0;220000;0,014193548;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR 840N Router TP Link TL-WR840N Wifi Wireless N Router;https://tokopedia.com/thanthan/tp-link-tl-wr-840n-router-tp-link-tl-wr840n-wifi-wireless-n-router;THANTHAN_ACC57;tokopedia;In Stock;baru;Above;Please Check;155000;240000;0;240000;0,015483871;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300Mbps Wireless N Router 300Mbps Wireless N Speed;https://tokopedia.com/ccplace/tp-link-tl-wr840n-300mbps-wireless-n-router-300mbps-wireless-n-speed;ccplace shop;tokopedia;In Stock;baru;Above;Please Check;155000;225000;0;225000;0,014516129;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Kabel LAN Outdoor 100 Meter dan Access Point TP-LINK TL-WR840N 300Mbps;https://tokopedia.com/ccbima/kabel-lan-outdoor-100-meter-dan-access-point-tp-link-tl-wr840n-300mbps;ccbima store;tokopedia;In Stock;baru;Above;Please Check;155000;496000;0;496000;0,032;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;HB799 Tp-Link TL WR845N WR-845N - WR840N 300Mbps Wireless Router Tp Li;https://tokopedia.com/asntoserba/hb799-tp-link-tl-wr845n-wr-845n-wr840n-300mbps-wireless-router-tp-li;ASN TOSERBA;tokopedia;In Stock;baru;Above;Please Check;155000;358000;0;358000;0,023096774;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Tp-Link TL-WR840N 300Mbps Wireless N Speed Router WiFi TP LINK;https://tokopedia.com/gavinstore-/tp-link-tl-wr840n-300mbps-wireless-n-speed-router-wifi-tp-link;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;236000;0;236000;0,015225806;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N Wireless N Router 300Mbps Wifi Router TPLINK WR840N;https://tokopedia.com/thanthan/tp-link-tl-wr840n-wireless-n-router-300mbps-wifi-router-tplink-wr840n;THANTHAN_ACC57;tokopedia;In Stock;baru;Above;Please Check;155000;250000;0;250000;0,016129032;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR 840N TL-WR840N 300MBps Wireless Router 2 Antenna;https://tokopedia.com/gavinstore-/tp-link-tl-wr-840n-tl-wr840n-300mbps-wireless-router-2-antenna;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;234000;0;234000;0,015096774;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300MBps Wireless Router WR840N tplink 840n wifi 840;https://tokopedia.com/boneshop9-1/tp-link-tl-wr840n-300mbps-wireless-router-wr840n-tplink-840n-wifi-840;boneshop9;tokopedia;In Stock;baru;Above;Please Check;155000;384000;0;384000;0,024774194;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TL-WR840N tp-link TL-WR840N Router 300Mbps Repeater Wireless WISP AP;https://tokopedia.com/chalshop43/tl-wr840n-tp-link-tl-wr840n-router-300mbps-repeater-wireless-wisp-ap;Chalshop43;tokopedia;In Stock;baru;Above;Please Check;155000;286000;0;286000;0,018451613;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;100% Ori Tp Link Tp-Link Tl-Wr840N 300Mbps Wireless Router Tp Link;https://tokopedia.com/lisa100-1/100-ori-tp-link-tp-link-tl-wr840n-300mbps-wireless-router-tp-link;lisa 100;tokopedia;In Stock;baru;Above;Please Check;155000;238000;0;238000;0,015354839;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK 300MBPS WIRELESS ROUTER - TL-WR840N - WHITE;https://tokopedia.com/vianis/tp-link-300mbps-wireless-router-tl-wr840n-white-ddea;Viani_s;tokopedia;In Stock;baru;Above;Please Check;155000;186100;0;186100;0,012006452;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N : 300Mbps TPLink WiFi Wireless N Router WR840;https://tokopedia.com/ccplace/tp-link-tl-wr840n-300mbps-tplink-wifi-wireless-n-router-wr840;ccplace shop;tokopedia;In Stock;baru;Above;Please Check;155000;238000;0;238000;0,015354839;0;0
